date,timestamp,block_hash,current_era_index,block_number
2020-10-25,1603625778000,0xc92c1600d8a03691d486bd9c3689f7ca0191c41fbbb4cde58279aee3083371d9,146,2177043
2020-10-26,1603712178000,0xf5802890fa8dd1cfdd9e9753bf587d4c378b360746ddc7a3872d867cb22204d5,147,2191419
2020-10-27,1603798578000,0xb1f36d574750ded19306a05228571681a8acfb9a78487567514c3c9dfbc216a4,148,2205797
2020-10-28,1603884978000,0x080c139b66c539ba7dbd1573235ffcf9732e7d533f5fa97aa1d8cbd15bc03e12,149,2220175
2020-10-29,1603971378000,0xadf001520820276fe04da3f46c099942b345f8f42c6280da8c9d5c6220fe133c,150,2234551
2020-10-30,1604057784000,0x31259e0b1a419c5ac8f396019bfddbe16ea7d20f01f91e72191bb889514f9f28,151,2248920
2020-10-31,1604144178000,0xd5918cd78044a55fe98444c6485f329e18027db644f8d3fc92a5c62d6f9f1567,152,2263288
2020-11-01,1604230578000,0x4492a1d0571189373e624476efea95f97b6ff56959e6e946e6931c20b127842e,153,2277658
2020-11-02,1604316984000,0xe853603559509e0fbe46b6ae98dcc1a5bd1c5f254fbb9108866f67dd01d257f9,154,2292027
2020-11-03,1604403378000,0x1a0f285eb21866ed809499d14bbe6af6f27fd53821248a4156fd8202f0785b07,155,2306389
2020-11-04,1604489778000,0x41a3e77ec55a0fecfa42bca3710e34350bf51f6e0c81925c421810d50f39fa38,156,2320756
2020-11-05,1604576178000,0x857fb53a69c78d9139ea0ba8e92e52506728db630517c97c45cad680ebdfcd4a,157,2335083
2020-11-06,1604662578000,0x1687d733ee48b67466f4ffa98f925eca68828878edf309281841944e8fac65ca,158,2349401
2020-11-07,1604748978000,0x3022dd1e7e90ee047a71427bdeee72764fa9871109dd4ad0c935b5db1bb8f376,159,2363666
2020-11-08,1604835384000,0xcb31f3fe62d208bae7a719c9407beb489ea8d0ac5efdd51013fbd7de7e6cd8ff,160,2377749
2020-11-09,1604921778000,0xa5dcde1f79988f0d6a5d2ec8d1f2b614093df655c09f9f2d7f4f0d7fdf7a4bb7,161,2391905
2020-11-10,1605008178000,0x277642de81d4d48904ccbae88fcdc1223e05e1811abcc28f07c6a859c0e1ee98,162,2406162
2020-11-11,1605094578000,0xab23e704b07d0b3913d0788fee708c98e9becb9f11ddaabc0561037cef0b899b,163,2420421
2020-11-12,1605180978000,0x730d65909ef3ffa31e6b540d7992d229c7da0818b442385ae42e9ef3d3607e35,164,2434733
2020-11-13,1605267378000,0x39b7366ecaee1c914f295e550bd4dad9ef588537ce3f59d72101a8bd9a6ffa3d,165,2449080
2020-11-14,1605353778000,0xf1921123b29eb2eb58a465ef0281a89a71ee5c93122157271ee60e192d8737d1,166,2463400
2020-11-15,1605440178005,0xc1369f3f7b5a1b7843a7a5d8afa808c9ef205cba292995001706a4ed180566ff,167,2477734
2020-11-16,1605526578000,0x74370681b7f2b5c668512cf99cc05a1079ced712d41c73a4fe0b074facad47cb,168,2492093
2020-11-17,1605612978009,0xd37c28989187c3f6246f9f3d6b1f89d63b37fdef7995bb22a25746ac8fd05666,169,2506447
2020-11-18,1605699384000,0x53dcb21669bbcc90b6181ff76bbf09ba0f87ee0db9e7ce6fd2a08fa4fbc38382,170,2520782
2020-11-19,1605785778010,0xc8e3732ebb92402634af290a165f0a6c085ae88edf9f059204e77cad10e2a377,171,2535130
2020-11-20,1605872178000,0xbb83bd5988951713e34ac8eefa57f60f51b41e32f85aa6cf93a522787230b73f,172,2549500
2020-11-21,1605958578000,0x559757d1abc155a1c45e6a2bbf4aafb6b34e6d9ad6d031ec3d9d3772d26405eb,173,2563856
2020-11-22,1606044978000,0x41362877d9b6fe6140f6f349b9ccf75a1f0eabdc45075c06c7bd5d3ddb40991b,174,2578174
2020-11-23,1606131378000,0xa85bf537f92fafe9823b723c4e2bbc83f5c10c08a2c4646625fffe9b6d9c2d22,175,2592519
